type;start_date;zipcode;visitation_sum;year
indoor;2019-01-01;77002;15386658;2019
indoor;2019-01-01;77003;190689;2019
indoor;2019-01-01;77004;1064617;2019
indoor;2019-01-01;77005;5076470;2019
indoor;2019-01-01;77006;834145;2019
indoor;2019-01-01;77007;734461;2019
indoor;2019-01-01;77008;1661155;2019
indoor;2019-01-01;77009;81211;2019
indoor;2019-01-01;77010;0;2019
indoor;2019-01-01;77011;0;2019
indoor;2019-01-01;77012;39722;2019
indoor;2019-01-01;77013;75;2019
indoor;2019-01-01;77014;91653;2019
indoor;2019-01-01;77015;60703;2019
indoor;2019-01-01;77016;1112;2019
indoor;2019-01-01;77017;14944;2019
indoor;2019-01-01;77018;265893;2019
indoor;2019-01-01;77019;1522323;2019
indoor;2019-01-01;77020;22308;2019
indoor;2019-01-01;77021;16023;2019
indoor;2019-01-01;77022;43871;2019
indoor;2019-01-01;77023;32791;2019
indoor;2019-01-01;77024;2388606;2019
indoor;2019-01-01;77025;46924;2019
indoor;2019-01-01;77026;10446;2019
indoor;2019-01-01;77027;1329342;2019
indoor;2019-01-01;77028;4140;2019
indoor;2019-01-01;77029;167943;2019
indoor;2019-01-01;77030;2903998;2019
indoor;2019-01-01;77031;40359;2019
indoor;2019-01-01;77032;27312;2019
indoor;2019-01-01;77033;0;2019
indoor;2019-01-01;77034;382350;2019
indoor;2019-01-01;77035;8844;2019
indoor;2019-01-01;77036;355538;2019
indoor;2019-01-01;77037;36220;2019
indoor;2019-01-01;77038;0;2019
indoor;2019-01-01;77039;18123;2019
indoor;2019-01-01;77040;1221643;2019
indoor;2019-01-01;77041;105824;2019
indoor;2019-01-01;77042;402418;2019
indoor;2019-01-01;77043;1778491;2019
indoor;2019-01-01;77044;11977;2019
indoor;2019-01-01;77045;2816;2019
indoor;2019-01-01;77046;90398;2019
indoor;2019-01-01;77047;103246;2019
indoor;2019-01-01;77048;108;2019
indoor;2019-01-01;77049;0;2019
indoor;2019-01-01;77050;0;2019
indoor;2019-01-01;77051;0;2019
indoor;2019-01-01;77053;1290;2019
indoor;2019-01-01;77054;50074521;2019
indoor;2019-01-01;77055;378467;2019
indoor;2019-01-01;77056;1864468;2019
indoor;2019-01-01;77057;959985;2019
indoor;2019-01-01;77058;1894431;2019
indoor;2019-01-01;77059;40781;2019
indoor;2019-01-01;77060;40997;2019
indoor;2019-01-01;77061;19393;2019
indoor;2019-01-01;77062;21831;2019
indoor;2019-01-01;77063;38711536;2019
indoor;2019-01-01;77064;282801;2019
indoor;2019-01-01;77065;717192;2019
indoor;2019-01-01;77066;152628;2019
indoor;2019-01-01;77067;8861;2019
indoor;2019-01-01;77068;146123;2019
indoor;2019-01-01;77069;26803;2019
indoor;2019-01-01;77070;1177719;2019
indoor;2019-01-01;77071;16759;2019
indoor;2019-01-01;77072;108755;2019
indoor;2019-01-01;77073;36451;2019
indoor;2019-01-01;77074;603634;2019
indoor;2019-01-01;77075;26678;2019
indoor;2019-01-01;77076;3719;2019
indoor;2019-01-01;77077;940762;2019
indoor;2019-01-01;77078;4753;2019
indoor;2019-01-01;77079;357579;2019
indoor;2019-01-01;77080;176887;2019
indoor;2019-01-01;77081;111257;2019
indoor;2019-01-01;77082;270764;2019
indoor;2019-01-01;77083;146200;2019
indoor;2019-01-01;77084;523158;2019
